order_id,lng,lat,depot_lat,depot_lng,vehicle_num,dlvr_seq_num
2556635,126.53566,43.82912,43.8502,126.5445,1,1
1507929,126.54484,43.84685,43.8502,126.5445,1,2
2234840,126.51653,43.81547,43.8502,126.5445,1,8
511292,126.56568,43.84987,43.8502,126.5445,1,19
3846410,126.5565,43.84634,43.8502,126.5445,1,3
3731521,126.54651,43.8422,43.8502,126.5445,1,20
720049,126.55835,43.85397,43.8502,126.5445,1,7
410698,126.52634,43.81835,43.8502,126.5445,1,18
3806465,126.52507,43.82184,43.8502,126.5445,1,22
3619717,126.49256,43.81104,43.8502,126.5445,1,6
1142156,126.52478,43.83859,43.8502,126.5445,1,21
3199135,126.51849,43.81664,43.8502,126.5445,1,4
3131184,126.53544,43.83586,43.8502,126.5445,1,5
736639,126.53486,43.82793,43.8502,126.5445,1,17
2942539,126.54089,43.84308,43.8502,126.5445,1,23
2628380,126.5628,43.85554,43.8502,126.5445,1,10
393542,126.52712,43.8274,43.8502,126.5445,1,9
3518119,126.5552,43.8472,43.8502,126.5445,1,11
1717642,126.52799,43.82267,43.8502,126.5445,1,16
21394,126.54469,43.84056,43.8502,126.5445,1,12
2940144,126.50244,43.80999,43.8502,126.5445,1,14
1819621,126.55913,43.84127,43.8502,126.5445,1,24
3259842,126.51983,43.82474,43.8502,126.5445,1,13
504164,126.51028,43.82592,43.8502,126.5445,1,15
2681638,126.51366,43.82348,43.8502,126.5445,1,30
2512547,126.55501,43.84821,43.8502,126.5445,1,25
410277,126.55891,43.84739,43.8502,126.5445,1,26
2452372,126.52523,43.82733,43.8502,126.5445,1,27
3794347,126.51461,43.82125,43.8502,126.5445,1,28
2378534,126.54318,43.83759,43.8502,126.5445,1,29
3868042,126.51441,43.81535,43.8502,126.5445,2,1
2130140,126.49753,43.81582,43.8502,126.5445,2,5
3885859,126.55553,43.8452,43.8502,126.5445,2,4
2654626,126.54036,43.8412,43.8502,126.5445,2,17
629041,126.51801,43.81575,43.8502,126.5445,2,2
3984733,126.55724,43.85006,43.8502,126.5445,2,3
3700735,126.56152,43.84231,43.8502,126.5445,2,6
3501247,126.52302,43.82286,43.8502,126.5445,2,7
1766686,126.52705,43.82199,43.8502,126.5445,2,16
1850418,126.52391,43.82484,43.8502,126.5445,2,15
4137934,126.56581,43.84589,43.8502,126.5445,2,14
2017561,126.54216,43.84027,43.8502,126.5445,2,13
1765501,126.54566,43.84274,43.8502,126.5445,2,8
73659,126.54089,43.84229,43.8502,126.5445,2,9
2644638,126.52078,43.8179,43.8502,126.5445,2,10
741503,126.51703,43.81989,43.8502,126.5445,2,11
1234559,126.53055,43.83118,43.8502,126.5445,2,12
279491,126.56597,43.85418,43.8502,126.5445,2,18
1039584,126.5237,43.82061,43.8502,126.5445,2,20
2632398,126.55066,43.83945,43.8502,126.5445,2,19
